pnr;canton
2344;NE
2346;VD
2347;BS
2348;ZH
2349;SG
2350;NE
2352;Genève
2353;VD
2354;BE
2355;
2358;Genève
2359;VD
2361;BE
2362;ZG
2363;Genève
2364;TI
2366;ZH
2367;FR
2369;FR
2371;FR
2372;VD
2373;Genève
2374;SG
2375;HH
2376;ZH
2377;BS
2378;ZH
2379;Genève
2380;
2382;BE
2383;ZH
2384;BE
2385;ZH
2387;VD
2388;BB
2390;NE
2391;VD
2393;ZH
2395;Genève
2398;FR
2402;Genève
2405;FR
2408;ZH
2410;BE
2412;Genève
2413;FR
2415;
2417;NE
2418;VD
2422;BE
2426;
2427;TI
2428;ZH
2429;Genève
2431;Genève
2433;Genève
2435;Genève
2436;Genève
2437;VD
2440;FR
2441;
2442;ZH
2443;VD
2444;SG
2445;BS
2446;VD
2447;Genève
2448;VD
2449;GR
2454;
2455;
2456;
2457;
2459;ZH
2462;Genève
2463;Genève
2466;BS
2468;SG
2470;NE
2471;
2472;Genève
2474;SG
2475;VD
2477;Genève
2478;ZH
2479;
2480;ZH
2481;BS
2482;Genève
2483;FR
2484;ZH
2485;NE
2486;FR
2487;BS
2488;BS
2489;BS
2490;BS
2491;NE
2492;NE
2493;Genève
2494;Genève
2495;Genève
2496;VD
2497;Genève
2498;Genève
2499;VD
2500;Genève
2501;BE
2502;ZH
2503;ZH
2504;ZH
2505;VD
2506;VD
2507;ZH
2508;ZH
2509;BS
2512;ZH
2513;VD
2514;ZH
2515;ZH
2516;ZH
2517;ZH
2518;Genève
2519;BS
2520;BE
2521;VD
2522;VD
2524;Genève
2525;ZH
2526;VD
2527;NE
2528;ZH
2530;BS
2531;BS
2532;VD
2533;ZH
2534;FR
2535;ZH
2536;VD
2539;Genève
2540;Genève
2541;ZH
2542;
2543;ZH
2544;SG
2546;Genève
2547;Genève
2548;ZH
2549;VD
2550;VD
2551;VD
2552;VD
2553;VD
2554;FR
2556;ZH
2557;Genève
2558;Genève
2559;ZH
2560;ZH
2561;BE
2562;ZH
2563;ZH
2564;Genève
2565;VD
2566;Genève
2567;ZH
2569;ZH
2570;ZH
2571;BE
2572;Genève
2573;ZH
2574;ZH
2575;ZH
2576;ZH
2578;VD
2580;ZH
2581;ZH
2583;ZH
2584;ZH
2585;BS
2586;ZH
2587;ZH
2588;ZH
2589;ZH
2590;ZH
2591;ZH
2592;BS
2593;BS
2594;ZH
2595;ZH
2596;ZH
2598;ZH
2599;VD
2600;Genève
2601;ZH
2602;BE
2603;ZH
2604;BE
2605;Genève
2606;ZH
2609;NE
2610;BS
2611;NE
2612;Genève
2613;Genève
2614;BS
2615;FR
2616;ZH
2617;BE
2618;ZH
2619;BE
2620;ZH
2621;VD
2622;ZH
2623;BE
2624;VD
2625;Genève
2627;NE
2628;BE
2629;ZH
2630;ZH
2631;NE
2632;Genève
2633;NE
2634;VD
2635;ZH
2636;Genève
2637;BS
2638;Genève
2640;Genève
2641;ZH
2642;VD
2643;BE
2644;VD
2645;VD
2646;ZH
2647;Genève
2648;ZH
2649;BS
2650;BE
2651;VD
2652;BS
2653;NE
2654;VD
2655;BS
2656;BE
2657;BE
2658;NE
2659;VD
2660;VD
2661;VD
2662;ZH
2663;VD
2664;ZH
2665;ZH
2666;BE
2667;VD
2668;BE
2669;Genève
2670;VD
2671;VD
2672;ZH
2673;ZH
2674;Genève
2675;ZH
2676;Genève
2677;ZH
2679;BE
2680;ZH
2681;Genève
2682;ZH
2683;NE
2684;NE
2685;VD
2686;ZH
2687;ZH
2689;ZH
2690;ZH
2691;SG
2692;BE
2693;BS
2694;ZH
2695;ZH
2696;ZH
2697;Genève
2698;BS
2699;VD
2700;BS
2701;ZH
2702;Genève
2703;ZH
2704;FR
2705;NE
2706;BS
2707;NE
2708;ZH
2709;Genève
2710;ZH
2711;ZH
2712;BE
2713;ZH
2714;BS
2715;Genève
2716;FR
2717;NE
2719;BS
2720;BS
2721;ZH
2722;ZH
2723;VD
2724;ZH
2725;BS
2726;ZH
2727;ZH
2728;Genève
2729;VD
2730;BS
2731;Genève
2732;Genève
2733;NE
2734;ZH
2735;BE
2736;Genève
2737;ZH
2738;VD
2739;VD
2740;ZH
2741;VD
2742;VD
2743;VD
2744;ZH
2745;Genève
2746;VD
2747;VD
2748;VD
2749;VD
2750;Genève
2751;Genève
2752;Genève
2753;Genève
2754;BS
2755;VD
2756;BS
2757;VD
2758;BE
2759;Genève
2760;Genève
2761;BS
2762;Genève
2763;ZH
2764;ZH
2765;ZH
2766;Genève
2767;ZH
2768;ZH
2771;VD
2772;Genève
2774;ZH
2777;ZH
2778;VD
2779;ZH
2780;Genève
2781;Genève
2782;GR
2783;VD
2784;BE
2785;ZH
2786;ZH
2787;ZH
2788;ZH
2789;ZH
2790;ZH
2792;ZH
2793;ZH
2794;VD
2795;ZH
2796;BS
2797;ZH
2798;ZH
2799;BS
2800;BE
2801;BS
2802;BE
2803;BE
2804;ZH
2805;VD
2806;ZH
2809;ZH
2810;ZH
2811;Genève
2812;NE
2813;ZH
2814;BE
2815;BE
2816;ZH
2817;ZH
2818;BS
2819;BE
2820;VD
2821;Genève
2822;BS
2823;ZH
2824;Genève
2825;Genève
2826;ZH
2827;NE
2828;BE
2831;VD
2832;BE
2833;NE
2834;ZH
2835;ZH
2836;NE
2838;ZH
2839;ZH
2840;ZH
2841;NE
2842;BE
2843;ZH
2844;BE
2845;BS
2847;VD
2848;ZH
2849;ZH
2850;Genève
2851;VD
2852;ZH
2853;BS
2854;VD
2855;VD
2856;VD
2857;VD
2858;ZH
2859;Genève
2860;BS
2861;NE
2862;BS
2863;ZH
2864;FR
2865;VD
2866;BE
2868;VD
2869;BE
2870;FR
2871;VD
2872;FR
2873;Genève
2874;FR
2875;Genève
2876;ZH
2877;
2878;ZH
2879;VD
2881;BS
2882;ZH
2883;ZH
2884;ZH
2885;ZH
2886;ZH
2887;BS
2888;BS
2889;BS
2890;VD
2891;ZH
2892;ZH
2893;BS
2894;VD
2895;Genève
2896;BE
2897;ZH
2898;Genève
2900;ZH
2902;Genève
2903;BS
2904;VD
2905;BS
2907;BS
2908;VD
2909;VD
2910;Genève
2911;ZH
2912;Genève
2913;ZH
2914;VD
2915;VD
2916;VD
2917;ZH
2918;VD
2919;ZH
2920;VD
2921;ZH
2922;ZH
2923;NE
2924;Genève
2925;ZH
2926;FR
2928;BE
2929;Genève
2930;ZH
2931;BE
2932;BS
2933;Genève
2934;Genève
2935;VD
2936;Genève
2937;Genève
2938;NE
2940;VD
2941;NE
2942;ZH
2943;ZH
2944;BE
2945;VD
2946;VD
2947;ZH
2948;NE
2949;Genève
2950;VD
2951;Genève
2953;FR
2954;NE
2955;NE
2956;Genève
2957;BS
2958;BS
2959;VD
2960;ZH
2962;GR
2963;Genève
2964;Genève
2965;VD
2966;Genève
2967;BS
2968;Genève
2969;ZH
2970;VD
2971;BS
2972;ZH
2973;FR
2974;Genève
2975;ZH
2976;VD
2977;ZH
2979;ZH
2980;ZH
2981;ZH
2982;ZH
2983;ZH
2984;ZH
2986;ZH
2987;NE
2988;ZH
2989;BS
2990;ZH
2991;VD
2992;BE
2993;ZH
2994;ZH
2996;BS
2997;ZH
2998;BS
2999;FR
3000;Genève
3001;Genève
3002;Genève
3003;BE
3004;ZH
3005;ZH
3006;ZH
3007;VD
3008;ZH
3009;ZH
3010;ZH
3011;BE
3012;ZH
3013;ZH
3014;ZH
3015;ZH
3016;ZH
3018;BE
3019;ZH
3020;ZH
3021;BE
3023;BS
3024;ZH
3026;BS
3027;BS
3028;BE
3029;ZH
3030;BE
3031;Genève
3033;ZH
3034;BE
3035;BE
3036;ZH
3038;ZH
3039;BE
3040;VD
3041;ZH
3042;BS
3043;Genève
3044;ZH
3045;VD
3046;Genève
3047;ZH
3048;NE
3050;BE
3051;ZH
3052;ZH
3053;BE
3055;VD
3056;VD
3057;BE
3058;NE
3059;ZH
3060;ZH
3061;VD
3062;Genève
3063;Genève
3064;FR
3066;BE
3067;VD
3068;BE
3069;ZH
3070;VD
3071;NE
3072;ZH
3073;BS
3074;BS
3075;Genève
3076;ZH
3077;BE
3078;VD
3079;BE
3080;VD
3081;Genève
3082;Genève
3083;NE
3084;VD
3085;ZH
3086;ZH
3087;VD
3088;BS
3089;BE
3090;ZH
3091;BS
3092;VD
3093;BS
3094;ZH
3095;ZH
3096;Genève
3097;Genève
3098;ZH
3099;ZH
3100;ZH
3101;BE
3102;VD
3103;BS
3104;BS
3105;BS
3106;BS
3107;BS
3108;BS
3109;ZH
3110;ZH
3111;ZH
3112;VD
3113;ZH
3114;BS
3115;Genève
3116;VD
3117;NE
3118;ZH
3119;Genève
3120;NE
3122;VD
3123;ZH
3124;ZH
3125;ZH
3126;ZH
3127;Genève
3128;FR
3129;VD
3130;ZH
3131;ZH
3132;Genève
3133;VD
3135;Genève
3136;Genève
3137;NE
3138;BE
3139;VD
3140;ZH
3141;Genève
3142;Genève
3143;ZH
3144;BS
3145;ZH
3146;ZH
3147;BE
3148;NE
3149;NE
3150;VD
3151;Genève
3152;VD
3153;ZH
3154;Genève
3155;Genève
3156;VD
3157;Genève
3158;Genève
3159;BE
3160;ZH
3161;GR
3162;FR
3163;VD
3164;Genève
3165;ZH
3166;Genève
3167;VD
3168;BS
3169;ZH
3170;FR
3171;FR
3172;Genève
3173;Genève
3174;VD
3175;BS
3176;ZH
3177;VD
3178;VD
